zip,donations,total,GEOID,variable,estimate,moe,donations_per_1000
21904,429,10706.209999999994,21904,B01003_001,5975,651,71.79916317991632
21911,2860,39679.05000000002,21911,B01003_001,10804,826,264.71677156608666
21912,116,4251.120000000001,21912,B01003_001,1495,465,77.59197324414716
21913,40,1308.4999999999995,21913,B01003_001,878,308,45.558086560364465
21914,28,1399.7300000000002,21914,B01003_001,740,256,37.83783783783784
21915,262,10522.589999999998,21915,B01003_001,2469,415,106.1158363710004
21917,138,3712.3899999999994,21917,B01003_001,1884,557,73.2484076433121
21918,682,13136.439999999982,21918,B01003_001,4462,668,152.84625728372927
21919,193,7736.6,21919,B01003_001,3451,578,55.92581860330339
21920,8,227.88,21920,B01003_001,1089,595,7.3461891643709825
21921,6986,117748.40000000056,21921,B01003_001,45081,1659,154.96550653268562
21930,1,312.3,21930,B01003_001,27,42,37.03703703703704
22312,25,2183.76,22312,B01003_001,26573,1353,0.940804576073458
27549,1,30,27549,B01003_001,25193,1418,0.0396935656730044
30328,10,88.02,30328,B01003_001,39026,1845,0.2562394301235074
36362,6,120,36362,B01003_001,5422,394,1.1066027296200662
