zip,donations,total,GEOID,variable,estimate,moe,donations_per_1000
21036,1189,69995.87,21036,B01003_001,2145,385,554.3123543123543
21037,9471,376584.1499999987,21037,B01003_001,21060,1490,449.7150997150997
21040,2305,33320.56,21040,B01003_001,25110,1503,91.79609717244126
21042,28455,1050627.5999999992,21042,B01003_001,42528,1902,669.0886004514672
21043,20844,686790.2499999983,21043,B01003_001,47309,2147,440.5926990636031
21044,44569,1337506.6200000034,21044,B01003_001,45100,2073,988.2261640798226
21045,30660,803755.2300000013,21045,B01003_001,40980,1625,748.1698389458272
21046,11234,309389.19999999896,21046,B01003_001,15894,943,706.8076003523342
21047,2633,69101.56999999999,21047,B01003_001,13419,1285,196.21432297488636
21048,2073,66157.87999999996,21048,B01003_001,9759,1013,212.41930525668616
21050,3563,70752.11000000012,21050,B01003_001,18076,1132,197.11219296304492
21051,461,25766.14,21051,B01003_001,113,95,4079.6460176991154
21052,16,551,21052,B01003_001,438,259,36.5296803652968
21053,776,14091.339999999998,21053,B01003_001,3051,680,254.34283841363487
21054,5833,159548.24000000028,21054,B01003_001,15687,2248,371.83655255944416
21056,98,38413,21056,B01003_001,318,225,308.1761006289308
21057,2464,65720.03000000001,21057,B01003_001,4530,760,543.9293598233995
21060,14209,173872.13999999993,21060,B01003_001,38418,1871,369.85267322609195
21061,10219,168692.45000000004,21061,B01003_001,55172,2745,185.22076415573116
21071,287,8471.130000000001,21071,B01003_001,526,276,545.6273764258555
21074,2983,55540.70000000002,21074,B01003_001,15146,1206,196.9496896870461
21075,8984,224807.7100000003,21075,B01003_001,36176,2498,248.34144183989383
21076,6352,235382.90000000017,21076,B01003_001,22041,1730,288.1901910076675
21077,85,1464.38,21077,B01003_001,105,110,809.5238095238095
21078,7808,212588.47000000055,21078,B01003_001,19820,684,393.9455095862765
21082,459,13343.93,21082,B01003_001,694,258,661.3832853025937
21084,1638,29954.660000000033,21084,B01003_001,7366,989,222.37306543578606
21085,2745,55980.65999999996,21085,B01003_001,16590,1310,165.4611211573237
21087,656,20466.26,21087,B01003_001,5597,525,117.20564588172235
21090,1933,50232.64000000003,21090,B01003_001,10346,1099,186.83549197757588
21093,22218,633944.1899999967,21093,B01003_001,38961,1886,570.2625702625702
21102,3317,51923.16000000006,21102,B01003_001,12024,959,275.8649367930805
21104,4210,99374.20000000011,21104,B01003_001,6077,966,692.77604080961
21105,28,267,21105,B01003_001,40,63,700
21108,6603,220072.7800000001,21108,B01003_001,18046,1493,365.89826000221655
21111,3969,93046.8800000003,21111,B01003_001,4838,659,820.3803224472923
21113,16279,444059.96000000014,21113,B01003_001,36495,2114,446.06110426085763
21114,8848,236144.47000000044,21114,B01003_001,25126,1537,352.1451882512139
21117,23052,657696.399999998,21117,B01003_001,58516,2594,393.94353681044504
21120,2596,77234.65999999997,21120,B01003_001,7319,822,354.6932641071184
21122,9609,221055.7499999993,21122,B01003_001,61444,2461,156.3863029750667
21128,1908,49255.929999999986,21128,B01003_001,15934,1436,119.74394376804318
21130,7,225,21130,B01003_001,21,24,333.3333333333333
21131,2873,130327.89000000012,21131,B01003_001,7722,710,372.05387205387206
21132,185,6295.84,21132,B01003_001,3110,547,59.4855305466238
21133,8682,146954.52000000025,21133,B01003_001,32070,1892,270.7202993451824
21136,11483,323548.850000002,21136,B01003_001,35038,1566,327.7298932587476
21140,1294,55152.62999999996,21140,B01003_001,4255,790,304.11280846063454
21144,11718,222529.8500000001,21144,B01003_001,37041,2081,316.3521503199158
21146,13148,487095.9399999995,21146,B01003_001,29710,1689,442.5445977785257
21152,1796,80268.00000000007,21152,B01003_001,6517,978,275.58692649992327
21153,1329,41921.91000000001,21153,B01003_001,676,204,1965.976331360947
21154,568,14000.14,21154,B01003_001,7059,963,80.4646550502904
21155,578,15340.34,21155,B01003_001,3063,660,188.70388507998695
21156,40,1304.9999999999998,21156,B01003_001,362,247,110.49723756906077
21157,8691,202460.4400000002,21157,B01003_001,39816,1944,218.2790837854129
21158,4343,99560.21000000004,21158,B01003_001,23011,1135,188.7358219981748
21160,285,5854.12,21160,B01003_001,2716,756,104.93372606774669
21161,1036,26816.29999999997,21161,B01003_001,5625,877,184.17777777777778
21162,705,11934.46,21162,B01003_001,4322,618,163.11892642295234
21163,4816,171400.08000000005,21163,B01003_001,7222,767,666.8512877319303
21201,6643,366729.6200000009,21201,B01003_001,18305,1566,362.90630975143404
21202,6148,382084.8500000009,21202,B01003_001,20115,1216,305.6425553069849
21204,12273,511605.4999999996,21204,B01003_001,20188,1071,607.9354071725778
21205,1021,23248.110000000015,21205,B01003_001,14684,1763,69.53146281667121
21206,6518,111044.22,21206,B01003_001,51020,2346,127.75382203057626
